id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21302,the OCEAN HAVEN - pet-friendly,81292,Laurel,,Surf Coast,-38.46329,144.09163,Entire home/apt,1229.0,2,51,2023-01-18,0.41,3,332,0,
27561,Executive residence peaceful locale,119103,Lynn,,Surf Coast,-38.34221,144.30398,Entire home/apt,500.0,5,2,2022-04-18,0.03,2,64,0,
70449,Otway foothills retreat,357052,Craig And Tim,,Colac Otway,-38.32982,143.82842,Entire home/apt,277.0,1,60,2024-07-14,0.5,1,341,7,
84516,Sea-Lit - luxury plus stunning ocean views,462049,David,,Moyne,-38.39149,142.22084,Entire home/apt,401.0,2,163,2024-12-24,1.25,1,292,22,
195168,Historic House with Sea Views,899909,Tony,,Surf Coast,-38.54025,143.97139,Entire home/apt,900.0,2,34,2024-12-25,0.21,1,346,6,
403682,"Satis Beach House, Great Ocean Road
Linen provided",246509,Fiona,,Surf Coast,-38.465721,144.099136,Entire home/apt,550.0,2,187,2024-04-02,1.18,1,153,2,
479888,Riverbank Cottage Allenvale,2377195,Charles,,Surf Coast,-38.54855,143.95517,Entire home/apt,600.0,2,75,2023-05-22,0.69,6,69,0,
488344,"Seahaven,  a room with a view",2416415,Lise,,Surf Coast,-38.46413,144.09497,Entire home/apt,130.0,2,327,2024-12-09,3.13,2,251,44,
488599,Stunning City Townhouse,2417695,Darren And Yolanda,,Greater Geelong,-38.15406,144.35685,Entire home/apt,389.0,1,279,2024-01-28,2.03,5,315,1,
606687,Beach House - A Perfect Sea View,3005560,John & Suzy,,Queenscliffe,-38.2825,144.61339,Entire home/apt,393.0,2,391,2024-12-25,2.61,1,179,31,
675196,Self-contained downstairs apartment in Geelong,3429566,Jo,,Greater Geelong,-38.12033,144.35596,Entire home/apt,140.0,1,283,2024-12-13,2.13,1,257,36,
697087,Magic Apartment + Views@83 GREAT OCEAN ROAD Lorne,3570625,Kim,,Surf Coast,-38.527565,143.982712,Entire home/apt,1050.0,3,165,2024-12-25,1.12,4,77,15,
765554,Fairhaven Retreat-Great Ocean Road,4036595,Irene,,Surf Coast,-38.46616,144.08272,Entire home/apt,230.0,2,147,2024-11-18,1.01,1,30,8,
785467,Beachside Entertainer - Apollo Bay,4140800,Stuart,,Colac Otway,-38.77916,143.66466,Entire home/apt,282.0,1,281,2024-12-05,1.93,1,311,43,
841336,Sweet Dreams at Lara,4393951,Janita,,Greater Geelong,-38.01528,144.40169,Private room,200.0,1,22,2022-12-18,0.17,1,358,0,
847397,Ultimate Beachfront Retreat -Incredible Views,459921,Lorraine,,Surf Coast,-38.5301,143.98119,Entire home/apt,395.0,2,71,2024-12-14,0.49,3,166,8,
850562,Beach House Apartment Eastern Beach,2417695,Darren And Yolanda,,Greater Geelong,-38.1471,144.37349,Entire home/apt,339.0,1,167,2024-09-30,1.25,5,327,4,
853375,Point Lonsdale Beach House,4456031,Fiona,,Queenscliffe,-38.27055,144.61555,Entire home/apt,210.0,3,76,2024-11-10,0.62,1,303,10,
855501,Nanna's House,4069063,Deborah,,Surf Coast,-38.39517,143.88749,Entire home/apt,221.0,2,132,2024-12-19,0.91,1,275,10,
858408,AWESOME STUDIO - Stunning Sea Views,459921,Lorraine,,Surf Coast,-38.53829,143.97,Entire home/apt,395.0,2,83,2024-12-26,0.58,3,160,3,
859859,Dazzling Views - Supreme Position!,459921,Lorraine,,Surf Coast,-38.53829,143.97,Entire home/apt,479.0,2,125,2024-11-03,0.87,3,142,7,
890837,Bells Beach Views,4731549,Marian,,Surf Coast,-38.35578,144.28283,Private room,250.0,1,233,2024-09-29,1.61,1,338,8,
902612,Forrest River Valley Bed and Breakfast Studio,4824121,Carol,,Colac Otway,-38.51378,143.72836,Entire home/apt,240.0,2,24,2023-01-07,0.17,3,126,0,
911101,Wilkin cottage,4888844,Sharon,,Glenelg,-37.70711,141.21131,Entire home/apt,175.0,2,215,2024-11-19,1.52,1,337,18,
921687,Grampians Historic Tobacco Kiln,4955998,Karen,,Southern Grampians,-37.66715,142.2236,Entire home/apt,233.0,2,172,2024-11-12,1.22,4,201,13,
943123,WWW(WarmWarrnamboolWelcome),5102281,Helen (Sophie),,Warrnambool,-38.38613,142.5142,Private room,160.0,1,303,2024-12-20,2.1,1,318,26,
1037178,Great Ocean Road Hinterland Queen Room 1,5709920,Lisa,,Colac Otway,-38.57084,143.36134,Entire home/apt,200.0,2,119,2024-11-11,0.83,3,300,6,
1113236,"Family Beach House, Ocean Grove - Brisa Del Mar",6109815,Dale,,Greater Geelong,-38.270938873291016,144.51719665527344,Entire home/apt,262.0,2,30,2024-11-24,0.23,1,341,4,
1124773,Bellamboathouse at Fairhaven,6154547,Chris,,Surf Coast,-38.46346,144.09438,Entire home/apt,264.0,2,81,2024-04-01,0.6,1,30,4,
1168873,Airey's Inlet Beach-house,6401049,Alison,,Surf Coast,-38.45819,144.11411,Entire home/apt,414.0,2,100,2024-12-04,0.72,1,155,10,
1180734,Lorne Penthouse - stunning water views,4549647,Zora,,Surf Coast,-38.54783,143.9852,Entire home/apt,550.0,3,50,2024-01-21,0.41,1,283,1,
1247085,Seagrape Cottage,5732565,Christine,,Greater Geelong,-38.26207,144.52366,Entire home/apt,254.0,3,191,2024-11-11,1.36,1,210,6,
1285297,Fisheye9 - Ocean views and sounds!,6398917,Tanja,,Colac Otway,-38.72303,143.71179,Entire home/apt,341.0,1,270,2024-12-09,1.95,1,102,35,
1289208,Hopkins River Homestead,4647935,Lisa,,Warrnambool,-38.39359,142.59388,Entire home/apt,295.0,1,35,2024-05-03,0.27,2,331,4,
1332982,Anglesea Holiday Home - Sleeps 8!,7230673,Belinda,,Surf Coast,-38.40787,144.1956,Entire home/apt,330.0,2,374,2024-12-20,2.74,1,137,34,
1341747,Airey's on Hartley- Great Ocean Rd,7277677,Tim,,Surf Coast,-38.45555,144.11513,Entire home/apt,329.0,2,230,2024-11-04,1.67,1,291,8,
1384375,La Perouse - Small hotel by the sea,81292,Laurel,,Surf Coast,-38.54131,143.97026,Private room,579.0,2,58,2024-09-02,0.49,3,78,2,
1434583,Golfview Lorne,7710444,Brook,,Surf Coast,-38.52946,143.9739,Entire home/apt,771.0,2,142,2024-12-07,1.09,1,303,17,
1500112,Workers Playtime House Barwon Heads,8016448,Glenn,,Greater Geelong,-38.27656,144.49008,Entire home/apt,921.0,2,8,2021-04-16,0.07,1,331,0,
1504804,"4 Bed, 2 Living Room Home overlooking Tree Tops",8040161,Claire,,Surf Coast,-38.40489,144.18174,Entire home/apt,650.0,7,24,2024-01-27,0.18,1,16,3,
1532875,South Geelong Studio Apartment,901220,Carlo,,Greater Geelong,-38.16312,144.36001,Entire home/apt,163.0,1,852,2024-12-26,8.77,1,332,87,
1544720,Casa Belvedere,5285153,Bianca,,Warrnambool,-38.39272529278881,142.50583168119192,Entire home/apt,770.0,3,11,2024-05-03,0.5,1,360,5,
1625193,"Barrabool Hills Retreat B&B, Vic.Q.2.",8641535,Lorelle,,Surf Coast,-38.19125,144.20375,Private room,95.0,1,194,2024-12-20,1.76,3,345,18,
1641677,Jindibah Bird Haven,8716182,Leanne,,Surf Coast,-38.45318,144.11095,Entire home/apt,240.0,2,78,2024-06-10,0.58,1,195,8,
1673242,Ocean views and walk to the beach,57682242,Lana,,Colac Otway,-38.63268,143.88839,Entire home/apt,400.0,2,18,2020-03-08,0.17,1,36,0,
1693627,The Farmhouse - Historic Ocean View Homestead,8946631,Holly,,Corangamite,-38.590476,142.9875729,Entire home/apt,1345.0,1,23,2024-12-27,1.86,2,20,20,
1773818,Great Ocean Road Hinterland Queen Room 2,5709920,Lisa,,Colac Otway,-38.5725,143.36169,Entire home/apt,200.0,2,89,2024-04-26,0.65,3,298,2,
1848144,Captain's Quarters Apollo Bay,9653994,Heather,,Colac Otway,-38.76064,143.66796,Entire home/apt,310.0,2,913,2024-11-05,6.77,1,95,52,
